"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Publisher","1.0","Publisher-{Game_List_ID_51|vga_games_json53|jpntop_115}","{Nintendo|Nintendo|Nintendo}","Nintendo","true","Nintendo"
"GameTitle","0.0","GameTitle-{jpntop_490|vga_games_json4617|Game_List_ID_4379}","{Samurai Warriors: Xtreme Legends|Samurai Warriors: Xtreme Legends|Samurai Warriors: Xtreme Legends}","Samurai Warriors: Xtreme Legends",,
"Genre","0.75","Genre-{Game_List_ID_2373|Game_List_ID_37|jpntop_699|Game_List_ID_57}","{Shooter|Shooter|ACT|Shooter}","Shooter",,
"Publisher","0.0","Publisher-{jpntop_568|vga_games_json4700|Game_List_ID_4548}","{Marvelous AQL|Xseed Games|Nintendo}","Nintendo",,
"Publisher","1.0","Publisher-{Game_List_ID_1726|jpntop_150}","{Namco Bandai Games|Bandai Namco Games}","Namco Bandai Games",,
"Genre","0.0","Genre-{Game_List_ID_4563|jpntop_674}","{Role-Playing|RPG}","RPG",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_1507|jpntop_475}","{2015-01-01T00:00|2015-09-17T00:00}","2015-01-01T00:00",,
"Sales","0.0","Sales-{vga_games_json4070|jpntop_686}","{270000.0|249747.0}","259873.5",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json6287|jpntop_567}","{2010-09-22T00:00|2010-09-22T00:00}","2010-09-22T00:00",,
"Genre","0.0","Genre-{jpntop_892|Game_List_ID_5519}","{ADV|Action}","Action",,
"Genre","0.0","Genre-{jpntop_935|Game_List_ID_4034}","{PZL|Puzzle}","PZL",,
"GameTitle","0.0","GameTitle-{vga_games_json12|jpntop_13|Game_List_ID_12}","{Mario Kart DS|Mario Kart DS|Mario Kart DS}","Mario Kart DS","false","Mario Kart DS"
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_4476|jpntop_578|vga_games_json4705}","{2009-01-01T00:00|2009-03-12T00:00|2010-09-27T00:00}","2009-03-12T00:00",,
"GameTitle","0.0","GameTitle-{vga_games_json1002|jpntop_724|Game_List_ID_997}","{Wii Party U|Wii Party U|Wii Party U}","Wii Party U",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_13461|vga_games_json14169|jpntop_746}","{2006-01-01T00:00|2006-09-07T00:00|2006-07-09T00:00}","2006-07-09T00:00",,
"Genre","0.6666666666666666","Genre-{Game_List_ID_2802|Game_List_ID_5537|jpntop_888}","{Role-Playing|Role-Playing|RPG}","Role-Playing",,
"Genre","0.0","Genre-{Game_List_ID_3936|jpntop_926}","{Simulation|STG}","Simulation",,
"Publisher","1.0","Publisher-{Game_List_ID_1194|vga_games_json1271|jpntop_322}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Genre","0.0","Genre-{Game_List_ID_998|jpntop_72}","{Role-Playing|RPG}","RPG",,
"Publisher","0.6666666666666666","Publisher-{Game_List_ID_4211|vga_games_json4448|jpntop_368}","{Konami Digital Entertainment|Konami|Konami}","Konami",,
"GameTitle","0.0","GameTitle-{Game_List_ID_6587|vga_games_json6908|jpntop_795}","{Tokyo Jungle|Tokyo Jungle|Tokyo Jungle}","Tokyo Jungle",,
"Publisher","1.0","Publisher-{jpntop_729|vga_games_json4264|Game_List_ID_6811}","{Bandai Namco Games|Namco Bandai Games|Namco Bandai Games}","Bandai Namco Games",,
"Publisher","0.5","Publisher-{jpntop_198|vga_games_json6766|jpntop_887|Game_List_ID_6481}","{Namco|Ubisoft|Namco|Ubisoft}","Namco",,
"Genre","0.0","Genre-{jpntop_429|Game_List_ID_2114}","{RPG|Role-Playing}","RPG",,
"Sales","1.0","Sales-{jpntop_482|vga_games_json762}","{327473.0|440000.0}","383736.5",,
"Genre","0.0","Genre-{Game_List_ID_49|jpntop_113}","{Racing|RCE}","RCE","false",
"GameTitle","0.0","GameTitle-{jpntop_897|vga_games_json70}","{Uncharted 4: A Thief's End|Uncharted 4: A Thief's End}","Uncharted 4: A Thief's End",,
"Publisher","0.0","Publisher-{Game_List_ID_1795|jpntop_457}","{Nintendo|Pokemon Co.}","Nintendo",,
"Sales","0.0","Sales-{vga_games_json2001|jpntop_257}","{840000.0|529765.0}","684882.5",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json2535|Game_List_ID_2459|jpntop_312}","{2014-08-19T00:00|2012-01-01T00:00|2012-01-11T00:00}","2012-01-11T00:00",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_138|vga_games_json438}","{2000-04-27T00:00|2000-10-25T00:00}","2000-04-27T00:00",,
"Publisher","0.5","Publisher-{Game_List_ID_4413|Game_List_ID_297|vga_games_json325|jpntop_137}","{Konami Digital Entertainment|Konami Digital Entertainment|Konami|Konami}","Konami",,
"Publisher","0.0","Publisher-{jpntop_949|Game_List_ID_9530}","{Square Enix|Ubisoft}","Ubisoft",,
"Genre","0.6666666666666666","Genre-{Game_List_ID_2967|jpntop_242|Game_List_ID_459}","{Fighting|FTG|Fighting}","Fighting",,
"GameTitle","0.0","GameTitle-{vga_games_json95|Game_List_ID_88|jpntop_59}","{Final Fantasy X|Final Fantasy X|Final Fantasy X}","Final Fantasy X",,
"GameTitle","0.0","GameTitle-{Game_List_ID_4486|jpntop_458}","{Naruto: Ultimate Ninja 3|Naruto: Ultimate Ninja 3}","Naruto: Ultimate Ninja 3",,
"Sales","1.0","Sales-{jpntop_517|vga_games_json2725}","{308230.0|740000.0}","524115.0",,
"Genre","1.0","Genre-{jpntop_505}","{TBL}","TBL",,
"GameTitle","0.0","GameTitle-{jpntop_361|Game_List_ID_5043|vga_games_json7325|vga_games_json1395|Game_List_ID_9866}","{Persona 5|Persona 5|Persona 5|Persona 5|Persona 5}","Persona 5",,
"Sales","1.0","Sales-{jpntop_965}","{181030.0}","181030.0",,
"Genre","0.0","Genre-{Game_List_ID_1209|jpntop_557}","{Misc|TBL}","Misc",,
"Sales","1.0","Sales-{vga_games_json8192|jpntop_908}","{190000.0|191421.0}","190710.5",,
"Publisher","1.0","Publisher-{Game_List_ID_328|jpntop_453|vga_games_json357}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Genre","0.75","Genre-{jpntop_881|Game_List_ID_7244|Game_List_ID_364|Game_List_ID_154}","{ACT|Shooter|Shooter|Shooter}","Shooter",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_375|vga_games_json328|Game_List_ID_301}","{2000-03-30T00:00|2000-10-25T00:00|2000-01-01T00:00}","2000-03-30T00:00",,
"Genre","0.8571428571428571","Genre-{jpntop_393|Game_List_ID_14042|Game_List_ID_3275|Game_List_ID_8596|Game_List_ID_8915|Game_List_ID_10441|Game_List_ID_11875}","{ACT|Action|Action|Action|Action|Action|Action}","Action",,
"Genre","0.0","Genre-{Game_List_ID_7808|jpntop_854}","{Action|ADV}","Action",,
"Publisher","1.0","Publisher-{vga_games_json1020|jpntop_502|Game_List_ID_951}","{Square Enix|Square Enix|Square Enix}","Square Enix",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_7225|jpntop_792|vga_games_json7565}","{2003-01-01T00:00|2003-07-31T00:00|2003-07-31T00:00}","2003-07-31T00:00",,
"Sales","0.0","Sales-{vga_games_json3250|jpntop_224}","{640000.0|601107.0}","620553.5",,
"Sales","0.0","Sales-{jpntop_261|vga_games_json703}","{524283.0|510000.0}","517141.5",,
"Sales","1.0","Sales-{jpntop_837}","{208976.0}","208976.0",,
"Sales","1.0","Sales-{jpntop_780|vga_games_json7334}","{221894.0|230000.0}","225947.0",,
"Publisher","1.0","Publisher-{vga_games_json2452|jpntop_248|Game_List_ID_2326}","{Sony Computer Entertainment|Sony Computer Entertainment|Sony Computer Entertainment}","Sony Computer Entertainment",,
"Publisher","1.0","Publisher-{jpntop_71|vga_games_json121|Game_List_ID_113}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Sales","1.0","Sales-{vga_games_json8604|jpntop_909}","{180000.0|191268.0}","185634.0",,
"Publisher","0.6666666666666666","Publisher-{jpntop_151|Game_List_ID_2134|vga_games_json2271}","{Bandai Namco Games|Namco Bandai Games|Namco Bandai}","Namco Bandai",,
"Sales","1.0","Sales-{vga_games_json2300|jpntop_189}","{630000.0|671079.0}","650539.5",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json2919|Game_List_ID_2796|jpntop_400}","{2012-10-22T00:00|2012-01-01T00:00|2012-09-27T00:00}","2012-09-27T00:00",,
"GameTitle","0.0","GameTitle-{vga_games_json431|jpntop_802}","{Gran Turismo Sport|Gran Turismo Sport}","Gran Turismo Sport",,
"Publisher","0.6666666666666666","Publisher-{Game_List_ID_2740|jpntop_676|vga_games_json2714}","{Nintendo|Level 5|Nintendo}","Level 5",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_1603|jpntop_781}","{2005-01-01T00:00|2005-04-08T00:00}","2005-04-08T00:00",,
"Genre","0.0","Genre-{Game_List_ID_1603|jpntop_781}","{Role-Playing|RPG}","RPG",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_8422|jpntop_918|vga_games_json8807}","{2007-01-01T00:00|2007-12-20T00:00|2009-11-27T00:00}","2009-11-27T00:00",,
"Genre","0.0","Genre-{jpntop_816|Game_List_ID_3736}","{ADV|Adventure}","ADV",,
"Genre","0.0","Genre-{Game_List_ID_6247|jpntop_610}","{Action|ACT}","Action",,
"Publisher","1.0","Publisher-{jpntop_748|Game_List_ID_4347}","{Bandai Namco Games|Namco Bandai Games}","Bandai Namco Games",,
"Sales","1.0","Sales-{vga_games_json4807|jpntop_674}","{230000.0|251941.0}","240970.5",,
"Genre","0.0","Genre-{Game_List_ID_2940|jpntop_497}","{Simulation|ACT}","ACT",,
"Sales","1.0","Sales-{jpntop_570|vga_games_json2315}","{287213.0|310000.0}","298606.5",,
"Sales","1.0","Sales-{jpntop_394|vga_games_json460}","{383252.0|460000.0}","421626.0",,
"Genre","0.0","Genre-{jpntop_89|Game_List_ID_500}","{ACT|Platform}","ACT",,
"GameTitle","0.0","GameTitle-{jpntop_669|Game_List_ID_243|vga_games_json419|Game_List_ID_385}","{Mario & Sonic at the Olympic Winter Games|Mario & Sonic at the Olympic Winter Games|Mario & Sonic at the Olympic Winter Games|Mario & Sonic at the Olympic Winter Games}","Mario & Sonic at the Olympic Winter Games",,
"Publisher","0.0","Publisher-{Game_List_ID_6831|jpntop_104}","{Konami Digital Entertainment|Konami}","Konami",,
"Genre","0.0","Genre-{Game_List_ID_88|jpntop_59}","{Role-Playing|RPG}","RPG",,
"Genre","0.0","Genre-{Game_List_ID_1507|jpntop_475}","{Role-Playing|RPG}","RPG",,
"Publisher","0.6666666666666666","Publisher-{jpntop_375|vga_games_json328|Game_List_ID_301}","{Namco|Namco|Namco Bandai Games}","Namco",,
"GameTitle","0.0","GameTitle-{vga_games_json364|Game_List_ID_338|jpntop_279}","{Super Paper Mario|Super Paper Mario|Super Paper Mario}","Super Paper Mario",,
"Genre","0.0","Genre-{jpntop_924|Game_List_ID_4059}","{RPG|Role-Playing}","RPG",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json324|jpntop_49}","{2018-01-26T00:00|2018-01-26T00:00}","2018-01-26T00:00",,
"GameTitle","0.0","GameTitle-{jpntop_29|vga_games_json8|Game_List_ID_8}","{Wii Play|Wii Play|Wii Play}","Wii Play","false","Wii Play"
"GameTitle","0.0","GameTitle-{jpntop_35|Game_List_ID_313|vga_games_json337}","{Monster Hunter 4 Ultimate|Monster Hunter 4 Ultimate|Monster Hunter 4 Ultimate}","Monster Hunter 4 Ultimate",,
"GameTitle","0.0","GameTitle-{jpntop_382|Game_List_ID_2138|vga_games_json2207}","{Mario Tennis Open|Mario Tennis Open|Mario Tennis Open}","Mario Tennis Open",,
"Genre","0.0","Genre-{jpntop_87|Game_List_ID_29}","{RCE|Racing}","RCE",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_385|vga_games_json3119|Game_List_ID_2951}","{2007-09-20T00:00|2007-11-13T00:00|2007-01-01T00:00}","2007-11-13T00:00",,
"Publisher","0.6666666666666666","Publisher-{vga_games_json8577|jpntop_993|Game_List_ID_8190}","{Bandai|Bandai|Namco Bandai Games}","Bandai",,
"Publisher","1.0","Publisher-{Game_List_ID_6587|vga_games_json6908|jpntop_795}","{Sony Computer Entertainment|Sony Computer Entertainment|Sony Computer Entertainment}","Sony Computer Entertainment",,
"Genre","0.0","Genre-{jpntop_619|Game_List_ID_3533}","{RPG|Role-Playing}","RPG",,
"Genre","0.0","Genre-{jpntop_436|Game_List_ID_4092}","{RPG|Role-Playing}","RPG",,
"Genre","0.0","Genre-{Game_List_ID_3100|jpntop_554}","{Role-Playing|ACT}","ACT",,
"Genre","0.0","Genre-{jpntop_151|Game_List_ID_2134}","{ETC|Simulation}","Simulation",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_230|Game_List_ID_714|vga_games_json774}","{2002-10-25T00:00|2002-01-01T00:00|2002-12-02T00:00}","2002-10-25T00:00",,
"Publisher","0.5","Publisher-{Game_List_ID_1449|Game_List_ID_12081|jpntop_107|vga_games_json1549}","{Electronic Arts|Tecmo Koei|Koei|KOEI}","Koei",,
"Sales","1.0","Sales-{jpntop_283|vga_games_json1188}","{499555.0|600000.0}","549777.5",,
"Genre","0.0","Genre-{jpntop_284|Game_List_ID_2102}","{ADV|Adventure}","ADV",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_6297|Game_List_ID_3939|vga_games_json4140|jpntop_541}","{1997-01-01T00:00|2004-01-01T00:00|2005-03-17T00:00|2004-12-16T00:00}","2004-12-16T00:00",,
"Sales","0.75","Sales-{jpntop_719|vga_games_json365|vga_games_json1808|jpntop_798}","{240422.0|270000.0|270000.0|217357.0}","249444.75",,
"GameTitle","0.0","GameTitle-{jpntop_50|vga_games_json4|Game_List_ID_4}","{Wii Sports Resort|Wii Sports Resort|Wii Sports Resort}","Wii Sports Resort","false","Wii Sports Resort"
"Genre","0.8","Genre-{jpntop_945|Game_List_ID_9122|Game_List_ID_2609|Game_List_ID_5837|Game_List_ID_4448}","{ACT|Action|Action|Action|Action}","Action",,
"Sales","1.0","Sales-{jpntop_549|vga_games_json536}","{295873.0|310000.0}","302936.5","true","2550000.0"
"GameTitle","0.0","GameTitle-{jpntop_196|vga_games_json1410|Game_List_ID_1321}","{Onimusha 3: Demon Siege|Onimusha 3: Demon Siege|Onimusha 3: Demon Siege}","Onimusha 3: Demon Siege",,
"Publisher","1.0","Publisher-{jpntop_780|vga_games_json7334}","{D3 Publisher|D3 Publisher}","D3 Publisher",,
"GameTitle","0.0","GameTitle-{vga_games_json7117|Game_List_ID_6775|Game_List_ID_7022|jpntop_714|vga_games_json7376|jpntop_775}","{Monster Hunter G|Monster Hunter G|Monster Hunter G|Monster Hunter G|Monster Hunter G|Monster Hunter G}","Monster Hunter G",,
"Genre","0.0","Genre-{Game_List_ID_6552|jpntop_664}","{Strategy|SLG}","Strategy",,
"Genre","0.0","Genre-{jpntop_387|Game_List_ID_3536}","{FTG|Fighting}","Fighting",,
"Sales","1.0","Sales-{vga_games_json3027|jpntop_222}","{610000.0|606333.0}","608166.5",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_8235|vga_games_json3900|Game_List_ID_3724|jpntop_423}","{2010-01-01T00:00|2011-06-28T00:00|2010-01-01T00:00|2010-12-16T00:00}","2010-01-01T00:00",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_50|vga_games_json4|Game_List_ID_4}","{2009-06-25T00:00|2009-07-26T00:00|2009-01-01T00:00}","2009-07-26T00:00","false","2009-06-25T00:00"
"GameTitle","0.0","GameTitle-{vga_games_json1827|jpntop_438}","{Mario Tennis Aces|Mario Tennis Aces}","Mario Tennis Aces",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json4070|jpntop_686|Game_List_ID_3898}","{2011-03-29T00:00|2010-12-22T00:00|2010-01-01T00:00}","2011-03-29T00:00",,
"Sales","1.0","Sales-{jpntop_215|vga_games_json60}","{622577.0|810000.0}","716288.5",,
"GameTitle","0.0","GameTitle-{Game_List_ID_10080|Game_List_ID_1395|jpntop_109|Game_List_ID_394|vga_games_json868|Game_List_ID_809}","{Final Fantasy III|Final Fantasy III|Final Fantasy III|Final Fantasy III|Final Fantasy III|Final Fantasy III}","Final Fantasy III",,
"Genre","0.5","Genre-{Game_List_ID_6124|jpntop_561|Game_List_ID_3640|jpntop_850}","{Sports|SPT|Sports|SPT}","SPT",,
"Genre","0.75","Genre-{jpntop_219|Game_List_ID_7748|Game_List_ID_2420|Game_List_ID_7637}","{ACT|Action|Action|Action}","Action",,
"Sales","1.0","Sales-{jpntop_29|vga_games_json8}","{2825985.0|2930000.0}","2877992.5","true","2900000.0"
"Genre","0.6666666666666666","Genre-{jpntop_517|Game_List_ID_10052|Game_List_ID_2575}","{ADV|Action|Action}","Action",,
"Sales","0.0","Sales-{vga_games_json5299|jpntop_588}","{310000.0|279337.0}","294668.5",,
"Genre","0.6666666666666666","Genre-{jpntop_615|Game_List_ID_3780|Game_List_ID_2898}","{RPG|Role-Playing|Role-Playing}","Role-Playing",,
"GameTitle","0.0","GameTitle-{jpntop_230|Game_List_ID_714|vga_games_json774}","{Kirby: Nightmare in Dream Land|Kirby: Nightmare in Dream Land|Kirby: Nightmare in Dream Land}","Kirby: Nightmare in Dream Land",,
"Publisher","0.6666666666666666","Publisher-{Game_List_ID_391|jpntop_821|vga_games_json426}","{Namco Bandai Games|Namco|Namco}","Namco",,
"Sales","1.0","Sales-{vga_games_json81|jpntop_58}","{1820000.0|1797018.0}","1808509.0",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json1002|jpntop_724|Game_List_ID_997}","{2013-10-25T00:00|2013-10-31T00:00|2013-01-01T00:00}","2013-10-31T00:00",,
"Genre","0.0","Genre-{jpntop_35|Game_List_ID_313}","{ACT|Role-Playing}","ACT",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_29|vga_games_json8|Game_List_ID_8}","{2006-02-12T00:00|2007-02-12T00:00|2006-01-01T00:00}","2006-02-12T00:00","false","2006-12-02T00:00"
"GameTitle","0.0","GameTitle-{Game_List_ID_2802|Game_List_ID_5537|jpntop_888|vga_games_json2955}","{Resonance of Fate|Resonance of Fate|Resonance of Fate|Resonance of Fate}","Resonance of Fate",,
"GameTitle","0.0","GameTitle-{vga_games_json519|Game_List_ID_601|jpntop_797}","{Bloodborne|Bloodborne|Bloodborne}","Bloodborne",,
"Publisher","1.0","Publisher-{vga_games_json1697|Game_List_ID_1646|jpntop_203}","{Namco Bandai Games|Namco Bandai Games|Bandai Namco Games}","Namco Bandai Games",,
"Sales","0.0","Sales-{vga_games_json6154|jpntop_574}","{300000.0|286330.0}","293165.0",,
"GameTitle","0.0","GameTitle-{jpntop_162|vga_games_json358}","{Mario & Luigi: Bowser's Inside Story|Mario & Luigi: Bowser's Inside Story}","Mario & Luigi: Bowser's Inside Story",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_84|vga_games_json1243}","{2013-07-02T00:00|2016-09-16T00:00}","2013-07-02T00:00",,
"GameTitle","0.0","GameTitle-{Game_List_ID_2740|jpntop_676|vga_games_json2714}","{Professor Layton and the Azran Legacy|Professor Layton and the Azran Legacy|Professor Layton and the Azran Legacy}","Professor Layton and the Azran Legacy",,
"GameTitle","0.0","GameTitle-{jpntop_429|vga_games_json2235|Game_List_ID_2114}","{Tales of Graces f|Tales of Graces f|Tales of Graces f}","Tales of Graces f",,
"Publisher","0.5","Publisher-{Game_List_ID_2481|jpntop_232|Game_List_ID_3518|vga_games_json3711}","{Namco Bandai Games|Namco|Namco Bandai Games|Namco}","Namco",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json1947|Game_List_ID_1843|jpntop_268}","{2010-03-09T00:00|2009-01-01T00:00|2009-02-26T00:00}","2009-02-26T00:00",,
"Sales","1.0","Sales-{jpntop_437}","{353319.0}","353319.0",,
"GameTitle","0.0","GameTitle-{vga_games_json3486|Game_List_ID_3358|Game_List_ID_8811|jpntop_499}","{Dynasty Warriors 8|Dynasty Warriors 8|Dynasty Warriors 8|Dynasty Warriors 8}","Dynasty Warriors 8",,
"Publisher","1.0","Publisher-{Game_List_ID_12361|Game_List_ID_4975|Game_List_ID_9393|Game_List_ID_6259|jpntop_631}","{Namco Bandai Games|Namco Bandai Games|Namco Bandai Games|Namco Bandai Games|Bandai Namco Games}","Namco Bandai Games",,
"Genre","0.0","Genre-{jpntop_308|Game_List_ID_1809}","{SPT|Sports}","SPT",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_78|Game_List_ID_106|vga_games_json105}","{2014-05-29T00:00|2014-01-01T00:00|2014-05-30T00:00}","2014-05-30T00:00",,
"GameTitle","0.0","GameTitle-{vga_games_json320|jpntop_702}","{Tom Clancy's Rainbow Six: Siege|Tom Clancy's Rainbow Six: Siege}","Tom Clancy's Rainbow Six: Siege",,
"Publisher","1.0","Publisher-{Game_List_ID_3100|vga_games_json3260|jpntop_554}","{Sony Computer Entertainment|Sony Computer Entertainment|Sony Computer Entertainment}","Sony Computer Entertainment",,
"Genre","1.0","Genre-{jpntop_58}","{RCE}","RCE",,
"Sales","1.0","Sales-{vga_games_json783|jpntop_128}","{910000.0|921276.0}","915638.0",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json944|Game_List_ID_875|jpntop_357}","{2005-05-03T00:00|2004-01-01T00:00|2004-12-12T00:00}","2004-12-12T00:00",,
"Publisher","1.0","Publisher-{Game_List_ID_181|jpntop_192|vga_games_json174}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Publisher","1.0","Publisher-{jpntop_382|Game_List_ID_2138|vga_games_json2207}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"GameTitle","0.0","GameTitle-{vga_games_json510|jpntop_862}","{Tom Clancy's Ghost Recon Wildlands|Tom Clancy's Ghost Recon Wildlands}","Tom Clancy's Ghost Recon Wildlands",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json4807|Game_List_ID_4563|jpntop_674}","{2007-07-17T00:00|2006-01-01T00:00|2006-12-21T00:00}","2006-12-21T00:00",,
"Sales","0.0","Sales-{vga_games_json1495|jpntop_135}","{910000.0|886624.0}","898312.0",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_9|vga_games_json241|Game_List_ID_220}","{2010-01-12T00:00|2010-12-01T00:00|2010-01-01T00:00}","2010-01-12T00:00",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_181|jpntop_192|vga_games_json174}","{2012-01-01T00:00|2012-08-12T00:00|2012-11-18T00:00}","2012-08-12T00:00",,
"Sales","1.0","Sales-{jpntop_523}","{305017.0}","305017.0",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_1081|jpntop_785|Game_List_ID_741}","{2005-01-01T00:00|2005-01-27T00:00|2007-01-01T00:00}","2005-01-27T00:00",,
"Sales","1.0","Sales-{vga_games_json8047|jpntop_711}","{200000.0|243544.0}","221772.0",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json860|jpntop_313}","{2010-10-17T00:00|2010-10-14T00:00}","2010-10-14T00:00",,
"Sales","1.0","Sales-{vga_games_json2780|jpntop_594}","{80000.0|277578.0}","178789.0",,
"Sales","0.0","Sales-{vga_games_json3611|jpntop_332}","{590000.0|431383.0}","510691.5",,
"Genre","1.0","Genre-{jpntop_57}","{ACT}","ACT",,
"Publisher","0.6666666666666666","Publisher-{vga_games_json6798|jpntop_680|Game_List_ID_6483}","{Konami|Konami|Konami Digital Entertainment}","Konami",,
"Publisher","1.0","Publisher-{jpntop_196|vga_games_json1410|Game_List_ID_1321}","{Capcom|Capcom|Capcom}","Capcom",,
"Sales","0.0","Sales-{vga_games_json6843|jpntop_788}","{250000.0|219724.0}","234862.0",,
"GameTitle","0.0","GameTitle-{jpntop_229|vga_games_json2511|Game_List_ID_2404}","{Phantasy Star Portable 2|Phantasy Star Portable 2|Phantasy Star Portable 2}","Phantasy Star Portable 2",,
"GameTitle","0.0","GameTitle-{Game_List_ID_181|jpntop_192|vga_games_json174}","{New Super Mario Bros. U|New Super Mario Bros. U|New Super Mario Bros. U}","New Super Mario Bros. U",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_949|Game_List_ID_9530}","{2005-06-16T00:00|2005-01-01T00:00}","2005-06-16T00:00",,
"Genre","0.0","Genre-{jpntop_688|Game_List_ID_2249}","{RPG|Role-Playing}","RPG",,
"GameTitle","0.0","GameTitle-{jpntop_916|vga_games_json2543|Game_List_ID_3537}","{Mario Party: Star Rush|Mario Party: Star Rush|Mario Party: Star Rush}","Mario Party: Star Rush",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_19|vga_games_json1|Game_List_ID_1}","{2006-02-12T00:00|2006-11-19T00:00|2006-01-01T00:00}","2006-02-12T00:00","false","2006-12-02T00:00"
"Publisher","1.0","Publisher-{jpntop_946|vga_games_json1762|Game_List_ID_1656}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Genre","0.0","Genre-{Game_List_ID_2480|jpntop_428}","{Role-Playing|RPG}","RPG",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json2484|Game_List_ID_13802|jpntop_527|Game_List_ID_6583|Game_List_ID_2383|Game_List_ID_2784|Game_List_ID_7703}","{2012-02-07T00:00|2013-01-01T00:00|2012-01-26T00:00|2013-01-01T00:00|2012-01-01T00:00|2013-01-01T00:00|2013-01-01T00:00}","2013-01-01T00:00",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_580|vga_games_json671|Game_List_ID_623}","{2008-03-19T00:00|2008-05-13T00:00|2008-01-01T00:00}","2008-05-13T00:00",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json2003|Game_List_ID_1828|jpntop_603}","{2014-10-24T00:00|2012-01-01T00:00|2012-12-27T00:00}","2012-12-27T00:00",,
"Sales","1.0","Sales-{jpntop_306|vga_games_json677}","{465674.0|480000.0}","472837.0",,
"Genre","0.0","Genre-{jpntop_215|Game_List_ID_56}","{RCE|Racing}","RCE",,
"Genre","0.0","Genre-{Game_List_ID_64|jpntop_34}","{Platform|ACT}","ACT","false",
"Sales","1.0","Sales-{jpntop_627|vga_games_json6322}","{269426.0|290000.0}","279713.0",,
"Sales","0.0","Sales-{jpntop_91|vga_games_json959}","{1144490.0|1050000.0}","1097245.0",,
"Genre","0.0","Genre-{jpntop_905|Game_List_ID_7162}","{ETC|Action}","Action",,
"Publisher","0.6666666666666666","Publisher-{vga_games_json5275|Game_List_ID_5078|jpntop_983}","{Namco Bandai|Namco Bandai Games|Bandai Namco Games}","Namco Bandai",,
"Sales","1.0","Sales-{jpntop_785}","{221002.0}","221002.0",,
"GameTitle","0.0","GameTitle-{Game_List_ID_423|jpntop_147}","{Professor Layton and the Unwound Future|Professor Layton and the Unwound Future}","Professor Layton and the Unwound Future",,
"Publisher","0.6","Publisher-{jpntop_241|Game_List_ID_11706|Game_List_ID_14849|Game_List_ID_3300|vga_games_json3479}","{Koei|Tecmo Koei|Tecmo Koei|Tecmo Koei|KOEI}","Koei",,
"Genre","0.6666666666666666","Genre-{Game_List_ID_4110|jpntop_335|Game_List_ID_1357}","{Action|ACT|Action}","Action",,
"Publisher","0.5","Publisher-{jpntop_348|Game_List_ID_13953|vga_games_json25|Game_List_ID_25}","{Capcom|Take-Two Interactive|Rockstar Games|Take-Two Interactive}","Capcom",,
"Genre","0.6666666666666666","Genre-{jpntop_270|Game_List_ID_2596|Game_List_ID_10006}","{RPG|Role-Playing|Role-Playing}","Role-Playing",,
"Publisher","1.0","Publisher-{jpntop_163|vga_games_json206|vga_games_json205}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
